Time;View;Pane;Action;Grouped;Target
2020-05-05 20:09:21.791;LAUNCH;BUTTON_PANE;CLICK;false;ACADEMIC;true
2020-05-05 20:09:21.792;LAUNCH;BUTTON_PANE;CLICK;false;Create Your World
2020-05-05 20:10:57.335;ROOM;MAP_PANE;CHANGE_TILE;true;36d370e3-ea6f-40af-829b-401659dad218;(0,6);FLOOR;ENEMY
2020-05-05 20:10:58.022;ROOM;MAP_PANE;CHANGE_TILE;true;36d370e3-ea6f-40af-829b-401659dad218;(6,6);FLOOR;ENEMY
2020-05-05 20:10:58.78;ROOM;MAP_PANE;CHANGE_TILE;true;36d370e3-ea6f-40af-829b-401659dad218;(12,6);FLOOR;ENEMY
2020-05-05 20:10:59.603;ROOM;TILE_PANE;CHANGE_VALUE;false;TREASURE
2020-05-05 20:11:01.14;ROOM;MAP_PANE;CHANGE_TILE;true;36d370e3-ea6f-40af-829b-401659dad218;(10,2);FLOOR;TREASURE
2020-05-05 20:11:01.43;ROOM;MAP_PANE;CHANGE_TILE;true;36d370e3-ea6f-40af-829b-401659dad218;(9,1);FLOOR;TREASURE
2020-05-05 20:11:01.718;ROOM;MAP_PANE;CHANGE_TILE;true;36d370e3-ea6f-40af-829b-401659dad218;(10,1);FLOOR;TREASURE
2020-05-05 20:11:01.867;ROOM;MAP_PANE;CHANGE_TILE;true;36d370e3-ea6f-40af-829b-401659dad218;(11,1);FLOOR;TREASURE
2020-05-05 20:11:03.338;ROOM;MAP_PANE;CHANGE_TILE;true;36d370e3-ea6f-40af-829b-401659dad218;(10,0);FLOOR;TREASURE
2020-05-05 20:11:07.639;ROOM;MAP_PANE;CHANGE_TILE;true;36d370e3-ea6f-40af-829b-401659dad218;(6,6);ENEMY;TREASURE
2020-05-05 20:11:08.139;ROOM;MAP_PANE;CHANGE_TILE;true;36d370e3-ea6f-40af-829b-401659dad218;(5,6);FLOOR;TREASURE
2020-05-05 20:11:08.338;ROOM;MAP_PANE;CHANGE_TILE;true;36d370e3-ea6f-40af-829b-401659dad218;(7,6);FLOOR;TREASURE
2020-05-05 20:11:08.935;ROOM;TILE_PANE;CHANGE_VALUE;false;ENEMY
2020-05-05 20:11:09.672;ROOM;MAP_PANE;CHANGE_TILE;true;36d370e3-ea6f-40af-829b-401659dad218;(6,5);FLOOR;ENEMY
2020-05-05 20:11:10.921;ROOM;TILE_PANE;CHANGE_VALUE;false;WALL
2020-05-05 20:11:11.769;ROOM;MAP_PANE;CHANGE_TILE;true;36d370e3-ea6f-40af-829b-401659dad218;(8,0);FLOOR;WALL
2020-05-05 20:11:12.043;ROOM;MAP_PANE;CHANGE_TILE;true;36d370e3-ea6f-40af-829b-401659dad218;(8,1);FLOOR;WALL
2020-05-05 20:11:12.369;ROOM;MAP_PANE;CHANGE_TILE;true;36d370e3-ea6f-40af-829b-401659dad218;(8,2);FLOOR;WALL
2020-05-05 20:11:12.77;ROOM;MAP_PANE;CHANGE_TILE;true;36d370e3-ea6f-40af-829b-401659dad218;(9,3);FLOOR;WALL
2020-05-05 20:11:13.076;ROOM;MAP_PANE;CHANGE_TILE;true;36d370e3-ea6f-40af-829b-401659dad218;(8,3);FLOOR;WALL
2020-05-05 20:11:13.438;ROOM;MAP_PANE;CHANGE_TILE;true;36d370e3-ea6f-40af-829b-401659dad218;(10,3);FLOOR;WALL
2020-05-05 20:11:14.206;ROOM;MAP_PANE;CHANGE_TILE;true;36d370e3-ea6f-40af-829b-401659dad218;(11,2);FLOOR;WALL
2020-05-05 20:11:15.505;ROOM;TILE_PANE;CHANGE_VALUE;false;FLOOR
2020-05-05 20:11:16.339;ROOM;MAP_PANE;CHANGE_TILE;true;36d370e3-ea6f-40af-829b-401659dad218;(11,2);WALL;FLOOR
2020-05-05 20:11:20.368;ROOM;MAP_PANE;CHANGE_TILE;true;36d370e3-ea6f-40af-829b-401659dad218;(0,6);ENEMY;FLOOR
2020-05-05 20:11:21.356;ROOM;TILE_PANE;CHANGE_VALUE;false;ENEMY
2020-05-05 20:11:22.235;ROOM;MAP_PANE;CHANGE_TILE;true;36d370e3-ea6f-40af-829b-401659dad218;(11,2);FLOOR;ENEMY
2020-05-05 20:11:23.482;ROOM;TILE_PANE;CHANGE_VALUE;false;FLOOR
2020-05-05 20:11:24.33;ROOM;MAP_PANE;CHANGE_TILE;true;36d370e3-ea6f-40af-829b-401659dad218;(11,2);ENEMY;FLOOR
2020-05-05 20:11:25.123;ROOM;TILE_PANE;CHANGE_VALUE;false;ENEMY
2020-05-05 20:11:25.543;ROOM;MAP_PANE;CHANGE_TILE;true;36d370e3-ea6f-40af-829b-401659dad218;(11,0);FLOOR;ENEMY
2020-05-05 20:11:26.57;ROOM;TILE_PANE;CHANGE_VALUE;false;FLOOR
2020-05-05 20:11:27.943;ROOM;TILE_PANE;CHANGE_VALUE;false;WALL
2020-05-05 20:11:41.841;ROOM;TILE_PANE;CHANGE_VALUE;false;WALL
2020-05-05 20:11:44.47;ROOM;TILE_PANE;CHANGE_VALUE;false;ENEMY
2020-05-05 20:11:45.74;ROOM;MAP_PANE;CHANGE_TILE;true;bdb29a98-413a-42ab-987a-30a0c4d36ab1;(1,1);FLOOR;ENEMY
2020-05-05 20:11:46.476;ROOM;MAP_PANE;CHANGE_TILE;true;bdb29a98-413a-42ab-987a-30a0c4d36ab1;(4,3);FLOOR;ENEMY
2020-05-05 20:11:48.254;ROOM;MAP_PANE;CHANGE_TILE;true;bdb29a98-413a-42ab-987a-30a0c4d36ab1;(1,5);FLOOR;ENEMY
